learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.0005,2,8,10,10,1
3,6,4,6,12
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,131047.6927734375,0.52,130354.06171875,0.46,123068.8240234375,0.505,7.392725944519043,_
0,1,112324.044921875,0.52,119918.8533203125,0.46,114797.86123046876,0.505,6.6586503982543945,_
0,2,99204.83828125,0.525,180216.87578125,0.455,168501.629296875,0.505,6.702434778213501,_
0,3,96127.96459960938,0.5325,181660.0328125,0.455,169796.1734375,0.505,6.7561821937561035,_
0,4,98374.10083007812,0.5275,112714.4171875,0.465,109291.27314453125,0.515,6.914470911026001,_
0,5,97937.47856445312,0.5325,63230.40724182129,0.575,78458.50557918548,0.64,6.7229228019714355,_
0,6,93681.59006347656,0.5375,92853.55209960937,0.5,93766.37465820313,0.565,7.2257325649261475,_
0,7,97244.215234375,0.535,102895.179296875,0.48,97637.31162109374,0.53,6.864246606826782,_
0,8,94690.97453613281,0.535,138493.385546875,0.46,134617.487109375,0.51,6.801463603973389,_
0,9,92959.46301269531,0.55,111373.455859375,0.47,103515.4166015625,0.515,6.794605731964111,_
0,10,90660.05205078125,0.5525,94576.294921875,0.505,93555.01215820313,0.54,6.7371602058410645,_
0,11,83506.17426757813,0.5625,88519.55185546874,0.52,88982.14790039063,0.55,6.678951025009155,_
0,12,78270.74934082032,0.57,89480.31123046875,0.52,92167.26616210937,0.55,6.7318434715271,_
0,13,74490.40791931152,0.575,75436.94169921875,0.56,78913.57241210938,0.6,6.784752130508423,_
0,14,72547.02180786133,0.58,73231.33232421875,0.565,77179.75385742188,0.61,6.814670562744141,_
0,15,71528.22984313965,0.585,72347.9876953125,0.57,76344.90625,0.62,6.952248811721802,_
0,_,71528.22984313965,0.585,72347.9876953125,0.57,76344.90625,0.62,_,165.823659658432
1,0,171764.0375,0.4825,148969.564453125,0.515,150882.9970703125,0.52,6.659003496170044,_
1,1,155130.1525390625,0.4825,137042.7556640625,0.515,137889.30322265625,0.525,6.730095386505127,_
1,2,143139.25126953126,0.4825,128214.0357421875,0.525,128262.30625,0.525,6.6794843673706055,_
1,3,134547.86611328126,0.4825,122449.7533203125,0.525,122738.1921875,0.525,6.549039602279663,_
1,4,128590.70546875,0.4875,119090.98046875,0.525,120226.2189453125,0.525,7.120791673660278,_
1,5,124372.7103515625,0.49,113799.95625,0.535,115901.01181640624,0.53,6.8072779178619385,_
1,6,121704.2837890625,0.4925,110251.3951171875,0.535,113262.4546875,0.53,6.763829946517944,_
1,7,119954.24775390625,0.4925,108841.3359375,0.535,112383.11254882812,0.53,6.760944366455078,_
1,8,118448.3236328125,0.4925,107776.5017578125,0.535,111794.1197265625,0.53,6.650091171264648,_
1,9,117160.13393554688,0.5,108848.0162109375,0.535,112834.0078125,0.53,7.31670880317688,_
1,10,116142.07998046876,0.5,110957.496875,0.535,114275.628515625,0.53,6.852219104766846,_
1,11,115427.07172851563,0.5,115136.5689453125,0.53,116722.86552734375,0.53,6.695078372955322,_
1,12,114947.40219726562,0.5,119994.72353515626,0.52,121484.2109375,0.53,6.661915302276611,_
1,13,114608.2955078125,0.5,119459.8318359375,0.52,120960.93916015625,0.53,6.649121284484863,_
1,14,114365.6994140625,0.5,119247.71865234376,0.525,120805.06362304688,0.53,6.769802808761597,_
1,15,114185.89340820312,0.5,116969.35517578125,0.525,118780.98193359375,0.53,6.862849950790405,_
1,16,114088.758984375,0.5,114835.347265625,0.535,118199.31845703124,0.53,6.800764322280884,_
1,17,113887.81899414063,0.5,118231.19091796875,0.525,119437.01118164063,0.53,6.9100635051727295,_
1,18,113801.24926757812,0.5,117161.68623046875,0.53,118525.77758789062,0.53,6.63114070892334,_
1,_,113801.24926757812,0.5,117161.68623046875,0.53,118525.77758789062,0.53,_,194.82490968704224
2,0,161829.4654296875,0.495,131985.04248046875,0.5,123023.164453125,0.515,6.871429920196533,_
2,1,119792.20913085938,0.5,98741.5693359375,0.535,86751.86340332031,0.56,6.941487550735474,_
2,2,104285.82612304688,0.52,92179.04033203125,0.545,79692.5992553711,0.58,6.79309344291687,_
2,3,97929.84799804687,0.5325,88883.17783203124,0.55,75618.79177246094,0.58,6.862855672836304,_
2,4,94796.77060546874,0.54,87026.2419921875,0.555,73013.23057250977,0.595,7.5377843379974365,_
2,5,92358.98449707031,0.545,84228.74521484374,0.565,70027.87258300782,0.61,6.876381158828735,_
2,6,90718.14421386718,0.55,83838.40419921876,0.565,69683.7818786621,0.61,6.909733057022095,_
2,7,89874.51098632812,0.555,82888.47573242188,0.565,68625.92780761719,0.615,7.010713577270508,_
2,8,89101.25200195312,0.555,82479.47387695312,0.565,68313.95272216797,0.615,6.863868474960327,_
2,9,88590.60209960937,0.5575,82408.32504882812,0.565,68343.26282348632,0.615,6.838748931884766,_
2,10,87941.95354003906,0.5625,81630.02397460937,0.565,67588.37710571289,0.62,6.863756895065308,_
2,11,87734.05345458984,0.5625,82000.53623046874,0.57,67973.97372436523,0.615,6.76530909538269,_
2,12,87475.55795898437,0.565,81660.8708984375,0.575,67597.42432861328,0.615,6.709449291229248,_
2,13,87252.9060546875,0.565,81931.84907226563,0.58,67564.79483642578,0.615,7.495790243148804,_
2,14,87188.81708984375,0.565,82132.29643554687,0.58,67686.93675537109,0.615,6.6778905391693115,_
2,15,87106.52170410156,0.57,82344.287890625,0.58,67987.9847290039,0.615,6.764807224273682,_
2,16,87086.74558105468,0.575,82534.36489257813,0.58,68167.43514404297,0.615,6.823528528213501,_
2,17,87122.18502197266,0.5725,82784.74067382813,0.575,68347.57642822266,0.615,6.981334209442139,_
2,18,86954.86422119141,0.5725,83241.00869140626,0.575,68758.58312988281,0.61,6.717654705047607,_
2,19,87120.18312988282,0.57,83859.19125976562,0.57,69596.70336914062,0.61,6.902366876602173,_
2,20,86730.66333007812,0.5725,83810.15971679687,0.57,69277.836328125,0.61,6.783592462539673,_
2,_,86730.66333007812,0.5725,83810.15971679687,0.57,69277.836328125,0.61,_,218.05199551582336
3,0,175105.26162109376,0.4825,153465.1408203125,0.515,153787.4732421875,0.52,6.838715076446533,_
3,1,161801.66513671874,0.4825,140663.0158203125,0.515,140585.6443359375,0.525,6.870941400527954,_
3,2,150149.99912109374,0.4825,130651.282421875,0.52,129478.851953125,0.525,6.852829217910767,_
3,3,140556.92041015625,0.4825,122779.1482421875,0.525,120630.8251953125,0.525,6.9741668701171875,_
3,4,133245.26396484376,0.485,116997.1703125,0.525,114670.284765625,0.525,6.885196924209595,_
3,5,127827.58671875,0.4875,112605.5564453125,0.535,110649.6943359375,0.53,6.832828521728516,_
3,6,123696.26215820313,0.49,108931.02421875,0.535,107548.12001953126,0.53,6.794341325759888,_
3,7,120404.28994140626,0.4925,105843.643359375,0.535,105004.52666015625,0.53,6.769787311553955,_
3,8,117751.14072265624,0.4925,103270.95791015626,0.535,103013.77041015626,0.53,6.8657310009002686,_
3,9,115665.26088867188,0.495,101196.917578125,0.535,101625.07846679687,0.535,6.801501035690308,_
3,10,114066.07373046875,0.495,99487.4787109375,0.535,100608.145703125,0.535,7.05254054069519,_
3,11,112788.719921875,0.495,98073.94609375,0.535,99809.76274414062,0.54,6.907624006271362,_
3,12,111764.55615234375,0.4975,96973.3671875,0.535,99246.957421875,0.545,6.782000303268433,_
3,13,110940.17143554687,0.4975,96227.175390625,0.535,98995.72353515626,0.545,6.830206394195557,_
3,14,110215.99755859375,0.4975,95542.65263671875,0.535,98807.17080078126,0.545,6.864835500717163,_
3,15,109609.57802734376,0.4975,95008.4451171875,0.535,98796.7880859375,0.545,6.869632244110107,_
3,16,109076.36254882812,0.5,94786.48681640625,0.535,99027.01416015625,0.545,6.801729917526245,_
3,17,108625.15537109374,0.5,94169.82900390626,0.54,99049.12846679687,0.545,8.339061498641968,_
3,18,108175.89106445313,0.5025,94532.7697265625,0.54,100102.98623046876,0.54,6.887236595153809,_
3,19,107833.80415039063,0.5025,93739.07138671874,0.54,100060.76494140625,0.54,6.813607692718506,_
3,20,107716.8052734375,0.5025,92334.99765625,0.54,99461.76938476562,0.55,6.7594146728515625,_
3,21,107681.23032226562,0.505,93968.6501953125,0.54,101269.64794921875,0.535,6.78752326965332,_
3,22,107676.43515625,0.505,92966.3275390625,0.54,100774.69174804687,0.545,6.862424612045288,_
3,23,107744.283984375,0.505,98606.6125,0.54,105659.880078125,0.535,7.268537998199463,_
3,24,107808.4708984375,0.505,102802.2341796875,0.54,109137.3724609375,0.535,6.859185218811035,_
3,25,108025.97309570313,0.505,104000.7216796875,0.535,110216.85576171875,0.53,6.784985303878784,_
3,26,108227.08515625,0.505,100530.3533203125,0.54,107676.93525390625,0.535,6.8247597217559814,_
3,27,108544.25615234375,0.505,93206.60927734376,0.545,101732.37099609376,0.55,6.849658489227295,_
3,28,108930.88134765625,0.505,100261.4384765625,0.535,106879.39458007812,0.53,6.847847938537598,_
3,29,109352.69443359374,0.505,98024.253125,0.54,105450.11064453125,0.535,6.904399871826172,_
