learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.01,2,8,10,5,5
10,10,10,9,7
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,259970.40523804325,0.48,225000.0,0.55,255000.0,0.49,759.2056136131287,_
0,1,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.8105719089508,_
0,2,260000.0,0.48,225000.0,0.55,255000.0,0.49,807.1026067733765,_
0,3,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.9992520809174,_
0,4,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.7054433822632,_
0,5,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.8129723072052,_
0,6,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.9533574581146,_
0,7,260000.0,0.48,225000.0,0.55,255000.0,0.49,807.3073942661285,_
0,8,260000.0,0.48,225000.0,0.55,255000.0,0.49,807.043449640274,_
0,9,260000.0,0.48,225000.0,0.55,255000.0,0.49,807.3248195648193,_
0,10,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.9541475772858,_
0,_,260000.0,0.48,225000.0,0.55,255000.0,0.49,_,15893.567595481873
1,0,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.4905028343201,_
1,1,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.9779958724976,_
1,2,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.9217808246613,_
1,3,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.7101187705994,_
1,4,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.7900004386902,_
1,5,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.6893103122711,_
1,6,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.6710813045502,_
1,7,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.4204406738281,_
1,8,260000.0,0.48,225000.0,0.55,255000.0,0.49,805.9117150306702,_
1,9,260000.0,0.48,225000.0,0.55,255000.0,0.49,806.1821174621582,_
1,10,260000.0,0.48,225000.0,0.55,255000.0,0.49,805.1539084911346,_
1,_,260000.0,0.48,225000.0,0.55,255000.0,0.49,_,15926.30450296402
2,0,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.1857051849365,_
2,1,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.3825404644012,_
2,2,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.7082977294922,_
2,3,260000.0,0.48,225000.0,0.55,255000.0,0.49,803.9873225688934,_
2,4,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.3158957958221,_
2,5,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.522278547287,_
2,6,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.1411094665527,_
2,7,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.3691527843475,_
2,8,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.7516002655029,_
2,9,260000.0,0.48,225000.0,0.55,255000.0,0.49,803.9862992763519,_
2,10,260000.0,0.48,225000.0,0.55,255000.0,0.49,804.4728467464447,_
2,_,260000.0,0.48,225000.0,0.55,255000.0,0.49,_,15889.513766765594
3,0,235000.0,0.53,285000.0,0.43,245000.0,0.51,808.7868928909302,_
3,1,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.0985636711121,_
3,2,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.6372735500336,_
3,3,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.4328651428223,_
3,4,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.5691046714783,_
3,5,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.004400730133,_
3,6,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.8020031452179,_
3,7,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.4323003292084,_
3,8,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.5905785560608,_
3,9,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.3460240364075,_
3,10,235000.0,0.53,285000.0,0.43,245000.0,0.51,810.3625392913818,_
3,_,235000.0,0.53,285000.0,0.43,245000.0,0.51,_,15932.285673856735
4,0,272500.0,0.455,265000.0,0.47,190000.0,0.62,788.0106825828552,_
4,1,272500.0,0.455,265000.0,0.47,190000.0,0.62,787.2201414108276,_
4,2,272500.0,0.455,265000.0,0.47,190000.0,0.62,787.4466218948364,_
4,3,272500.0,0.455,265000.0,0.47,190000.0,0.62,787.6569685935974,_
4,4,272500.0,0.455,265000.0,0.47,190000.0,0.62,787.5272965431213,_
4,5,272500.0,0.455,265000.0,0.47,190000.0,0.62,788.0266222953796,_
4,6,272500.0,0.455,265000.0,0.47,190000.0,0.62,787.5363395214081,_
4,7,272500.0,0.455,265000.0,0.47,190000.0,0.62,787.4183158874512,_
4,8,272500.0,0.455,265000.0,0.47,190000.0,0.62,787.6056411266327,_
4,9,272500.0,0.455,265000.0,0.47,190000.0,0.62,786.8043484687805,_
4,10,272500.0,0.455,265000.0,0.47,190000.0,0.62,786.8387682437897,_
4,_,272500.0,0.455,265000.0,0.47,190000.0,0.62,_,15871.221286296844
