learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.009,2,8,4,10,1
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,111665.49649658203,0.525,170116.7015625,0.505,157444.3353515625,0.52,7.650451421737671,_
0,1,80587.04316558837,0.575,82877.58334960937,0.565,68213.13354492188,0.575,6.871539354324341,_
0,2,88723.90417480469,0.5525,152661.9671875,0.505,151662.9506347656,0.52,6.827216148376465,_
0,3,107058.28033447266,0.515,130160.9298828125,0.505,123252.93408203125,0.52,6.876725435256958,_
0,4,103505.861328125,0.54,82003.66772460938,0.56,84490.27293701172,0.585,7.091677665710449,_
0,5,107550.90650634766,0.535,131932.916015625,0.505,133940.03681640624,0.52,7.1122143268585205,_
0,6,107175.94813232422,0.535,114656.246875,0.525,114465.1474609375,0.525,7.076943635940552,_
0,7,113063.7135986328,0.535,118621.0650390625,0.51,124616.58310546874,0.525,7.180853605270386,_
0,8,109786.63062133788,0.535,138317.9560546875,0.505,138406.104296875,0.52,6.864853620529175,_
0,_,109786.63062133788,0.535,138317.9560546875,0.505,138406.104296875,0.52,_,96.28061866760254
1,0,92421.2896484375,0.5375,92603.75244140625,0.55,86631.94521484376,0.535,6.760355710983276,_
1,1,75005.37578125,0.5525,87569.02475585937,0.565,88171.66474609375,0.555,6.779388666152954,_
1,2,86915.06040039062,0.5625,85467.5212890625,0.6,76818.53823242188,0.565,6.736966848373413,_
1,3,91815.390625,0.5475,52196.11810151786,0.755,38114.37743683458,0.775,6.826800346374512,_
1,4,128189.97954101562,0.4925,122347.983203125,0.53,117782.0103515625,0.505,6.76692795753479,_
1,5,108763.10888671875,0.4925,29609.594189487398,0.805,33449.752769567815,0.815,6.768303871154785,_
1,6,121964.17998046875,0.4925,55536.44744873047,0.65,51222.38304443359,0.685,6.788921117782593,_
1,7,100914.33713378906,0.53,72211.58134765625,0.6,68544.5890625,0.59,6.469372749328613,_
1,8,126367.770703125,0.505,100253.26572265624,0.57,91185.162890625,0.565,6.44973349571228,_
1,9,121692.00844726563,0.5025,154181.949609375,0.525,152605.086328125,0.505,6.642849445343018,_
1,_,121692.00844726563,0.5025,154181.949609375,0.525,152605.086328125,0.505,_,101.9117636680603
